patch_id,label,type
patch1364_aug_7022,0,negative_aug
3425,1,positive
patch4501_aug_7493,0,negative_aug
5981,0,negative
patch2638_aug_3618,1,positive_aug
5306,1,positive
6078,0,negative
8015,1,positive
patch407_aug_6687,0,negative_aug
patch2036_aug_6002,1,positive_aug
patch3500_aug_1700,0,negative_aug
patch4673_aug_687,1,positive_aug
7562,1,positive
3836,1,positive
3665,0,negative
7071,1,positive
patch4858_aug_7224,1,positive_aug
patch6131_aug_2928,0,negative_aug
patch1137_aug_1418,0,negative_aug
2575,1,positive
patch8378_aug_7226,1,positive_aug
5149,0,negative
patch9829_aug_7255,1,positive_aug
4266,1,positive
12010,1,positive
patch572_aug_4387,0,negative_aug
patch1669_aug_4681,0,negative_aug
10798,1,positive
2277,1,positive
patch561_aug_6816,0,negative_aug
patch2880_aug_600,0,negative_aug
9172,1,positive
3160,0,negative
patch1904_aug_4653,0,negative_aug
patch2514_aug_7255,0,negative_aug
3041,0,negative
patch639_aug_2636,0,negative_aug
12768,1,positive
patch3337_aug_3256,0,negative_aug
patch5403_aug_3907,0,negative_aug
1053,1,positive
5606,1,positive
patch4211_aug_86,0,negative_aug
patch5839_aug_6286,0,negative_aug
patch1627_aug_5532,1,positive_aug
11183,1,positive
patch1292_aug_7098,1,positive_aug
patch328_aug_2889,0,negative_aug
patch6114_aug_7162,0,negative_aug
patch7458_aug_6175,1,positive_aug
patch4371_aug_4783,0,negative_aug
patch3646_aug_3175,0,negative_aug
9939,1,positive
2066,1,positive
patch5354_aug_5530,1,positive_aug
patch3125_aug_2071,0,negative_aug
5329,1,positive
8990,1,positive
11370,1,positive
5836,0,negative
9495,1,positive
patch4638_aug_6839,1,positive_aug
2766,1,positive
475,0,negative
patch3877_aug_2590,1,positive_aug
4693,1,positive
9311,1,positive
55,1,positive
patch2102_aug_84,0,negative_aug
5746,1,positive
11956,1,positive
patch5190_aug_4810,0,negative_aug
patch789_aug_6454,0,negative_aug
patch4615_aug_3009,0,negative_aug
2060,1,positive
patch4387_aug_5374,0,negative_aug
patch9400_aug_5015,1,positive_aug
patch11062_aug_6052,1,positive_aug
patch13233_aug_3600,1,positive_aug
200,1,positive
patch5617_aug_1168,0,negative_aug
patch2401_aug_8145,1,positive_aug
2332,1,positive
patch1284_aug_625,1,positive_aug
10996,1,positive
1034,1,positive
5929,0,negative
patch10301_aug_783,1,positive_aug
4051,0,negative
10730,1,positive
patch5244_aug_5342,1,positive_aug
patch7487_aug_8144,1,positive_aug
6385,1,positive
patch11024_aug_7909,1,positive_aug
patch5667_aug_5518,0,negative_aug
3810,0,negative
patch5647_aug_2759,0,negative_aug
patch84_aug_3583,0,negative_aug
2270,0,negative
patch6218_aug_3444,0,negative_aug
patch2649_aug_7673,0,negative_aug
1609,1,positive
patch2067_aug_3942,0,negative_aug
1463,0,negative
patch1021_aug_3445,1,positive_aug
10791,1,positive
patch5337_aug_5519,0,negative_aug
patch5606_aug_4046,0,negative_aug
5385,1,positive
10603,1,positive
11417,1,positive
319,1,positive
patch13056_aug_1720,1,positive_aug
620,1,positive
7770,1,positive
3085,0,negative
patch7563_aug_1327,1,positive_aug
patch8983_aug_5198,1,positive_aug
5657,1,positive
patch3333_aug_2424,0,negative_aug
5921,1,positive
patch6981_aug_2395,1,positive_aug
10051,1,positive
patch3423_aug_5716,0,negative_aug
patch1989_aug_4461,0,negative_aug
8139,1,positive
4792,0,negative
patch184_aug_582,0,negative_aug
2884,1,positive
7056,1,positive
patch8847_aug_2005,1,positive_aug
4537,0,negative
patch2774_aug_7943,1,positive_aug
1589,0,negative
patch5411_aug_5509,0,negative_aug
2611,0,negative
9303,1,positive
patch11155_aug_7832,1,positive_aug
11621,1,positive
1737,0,negative
patch49_aug_7890,1,positive_aug
patch11580_aug_3324,1,positive_aug
12098,1,positive
patch3877_aug_1160,0,negative_aug
2905,0,negative
4693,0,negative
patch1127_aug_1357,0,negative_aug
patch9009_aug_6893,1,positive_aug
patch9795_aug_2291,1,positive_aug
patch13462_aug_8007,1,positive_aug
patch5720_aug_6317,0,negative_aug
patch325_aug_6943,1,positive_aug
4517,0,negative
patch2299_aug_324,0,negative_aug
patch911_aug_6706,1,positive_aug
patch3388_aug_2464,0,negative_aug
11747,1,positive
10520,1,positive
patch3210_aug_5880,0,negative_aug
